name,gender,student_type,education_level,branch,study_hours,attend_hours,confidence,prefers_online_video,active_learner,sleep_hours,sleep_racing,exam_blank,overwhelm,friday_mood,self_doubt,workload_freq,goal_setting_freq,time_enough,puzzle_score,engagement,financial_stress,living_situation,phone_hours,friends_count,sgpa,atkt,has_internship,has_job,in_club,edtech_platforms,hobbies_count,social_interaction_freq,stress_base,motivation_base,social_base,digital_base,stress_level,learning_mode,at_risk_flag,gender_enc,student_type_enc,education_level_enc,branch_enc,sleep_racing_enc,friday_mood_enc,self_doubt_enc,goal_setting_freq_enc,financial_stress_enc,living_situation_enc,sleep_racing_num,goal_freq_num,digital_score,engagement_score,academic_pressure,social_score,study_efficiency,wellbeing_score
Aditi Patel,Female,Engineering,Engineering,BA English Literature,4,9,4,0,1,6,Always,1,3,Exhausted and drained,"Yes, I doubt them",1,Never,1,1,1,Moderate,Home,4,8,5.0,0,1,0,0,2,4,3,0.725,0.379,0.447,0.978,High,Online,0,0,1,1,1,0,1,2,1,2,0,3,0,6,11,9.0,11,0.4,14
Pranav Deshmukh,Male,Engineering,Engineering,MBA,2,16,2,0,1,6,Often,1,2,Tired but okay,"Yes, I doubt them",3,Never,2,2,2,Moderate,Home,3,6,5.6,0,0,1,1,3,2,1,0.566,0.248,0.697,0.214,High,Offline,0,1,1,1,8,2,4,2,1,2,0,2,0,6,19,9.4,8,0.11764705882352941,10
Aishwarya Bhosale,Other,Engineering,Engineering,BA Psychology,6,10,4,0,1,5,Often,0,1,Tired but okay,Sometimes,2,Often,4,3,3,Moderate,Home,1,2,8.2,0,0,0,1,4,4,3,0.21,0.978,0.348,0.591,Low,Hybrid,0,2,1,1,2,2,4,1,2,2,0,2,3,5,14,4.800000000000001,6,0.5454545454545454,13
Gaurav Jadhav,Male,Engineering,Engineering,MSc Data Science,1,11,2,1,1,5,Sometimes,0,2,Exhausted and drained,"No, I believe them",4,Rarely,2,3,3,Moderate,Home,6,9,6.4,0,0,0,1,2,3,1,0.542,0.331,0.509,0.802,Medium,Hybrid,0,1,1,1,10,3,1,0,3,2,0,1,1,10,15,9.6,11,0.08333333333333333,10
Yash Nair,Male,Engineering,Engineering,BCA,5,15,2,0,1,7,Sometimes,1,4,Exhausted and drained,Sometimes,4,Rarely,2,5,1,Moderate,Hostel,6,6,5.9,0,1,0,0,1,3,3,0.578,0.372,0.484,0.171,High,Hybrid,0,1,1,1,3,3,1,1,3,2,1,1,1,7,17,12.1,9,0.3125,12
Aarav Patel,Male,Engineering,Engineering,Electronics & TC,2,14,4,0,1,8,Never,0,3,Energised,"No, I believe them",1,Often,3,2,4,Moderate,Home,2,0,7.0,0,0,0,0,1,3,3,0.423,0.713,0.305,0.764,Medium,Online,0,1,1,1,7,1,0,0,2,2,0,0,3,3,19,7.0,3,0.13333333333333333,15
Eshan Mehta,Male,Engineering,Engineering,MSc Data Science,4,9,4,0,1,7,Never,0,1,Relieved,"No, I believe them",1,Often,3,2,4,Moderate,Home,3,2,6.1,0,0,0,1,2,3,3,0.315,0.845,0.245,0.701,Low,Online,0,1,1,1,10,1,3,0,2,2,0,0,3,5,14,5.9,6,0.4,14
Omkar Deshpande,Male,Engineering,Engineering,BCom,4,2,2,1,1,6,Often,1,4,Exhausted and drained,"Yes, I doubt them",2,Sometimes,1,4,3,Comfortable,Relatives,9,2,5.8,0,0,1,1,4,2,1,0.711,0.683,0.376,0.789,High,Online,0,1,1,1,4,2,1,2,4,0,3,2,2,15,6,10.2,4,1.3333333333333333,10
Manish Mohite,Male,Engineering,Engineering,Mechanical Engineering,5,19,2,0,0,5,Often,1,4,Neutral,Sometimes,4,Never,1,3,2,Moderate,Home,5,6,4.0,0,0,0,1,4,2,2,0.769,0.264,0.56,0.54,Critical,Hybrid,1,1,1,1,11,2,2,1,1,2,0,2,0,9,21,14.0,9,0.25,9
Devesh Shah,Male,Engineering,Engineering,BA English Literature,2,11,4,0,1,4,Never,1,4,Exhausted and drained,Sometimes,3,Rarely,1,4,3,Moderate,PG,5,8,6.3,0,0,0,1,4,3,2,0.882,0.283,0.602,0.472,Critical,Offline,1,1,1,1,1,1,1,1,3,2,2,0,1,9,15,10.7,11,0.16666666666666666,11
Bhavna Shah,Female,Engineering,Engineering,Mechanical Engineering,4,7,4,0,0,6,Never,1,4,Neutral,"Yes, I doubt them",3,Never,2,2,3,Moderate,Relatives,3,3,4.5,1,0,1,0,2,1,1,0.688,0.452,0.248,0.785,High,Online,1,0,1,1,11,1,2,2,1,2,3,0,0,5,10,13.5,4,0.5,11
Swati Bhosale,Female,Engineering,Engineering,BA Psychology,3,6,2,1,1,5,Always,1,4,Tired but okay,"Yes, I doubt them",3,Sometimes,2,3,5,Comfortable,Home,6,8,6.3,0,1,0,0,1,1,1,0.712,0.523,0.635,0.713,High,Hybrid,0,0,1,1,2,0,4,2,4,0,0,3,2,9,12,10.7,9,0.42857142857142855,8
Pranav Deshmukh,Male,Engineering,Engineering,BA Psychology,5,18,4,0,1,7,Never,0,2,Tired but okay,"No, I believe them",3,Often,3,2,4,Financially Struggling,Hostel,2,4,7.1,0,1,0,1,1,2,4,0.394,0.571,0.489,0.422,Medium,Hybrid,0,1,1,1,2,1,4,0,2,1,1,0,3,3,23,7.9,9,0.2631578947368421,13
Akash Sharma,Male,Engineering,Engineering,Mechanical Engineering,2,11,3,1,1,7,Often,1,4,Exhausted and drained,"No, I believe them",2,Sometimes,2,4,5,Tight,Home,7,0,4.6,0,1,0,0,2,4,2,0.708,0.267,0.373,0.759,High,Online,1,1,1,1,11,2,1,0,4,3,0,2,2,11,17,11.4,2,0.16666666666666666,14
Eshan Kumar,Male,Engineering,Engineering,BA English Literature,5,18,3,1,1,7,Sometimes,0,1,Tired but okay,Sometimes,1,Always,3,1,3,Tight,PG,2,7,9.8,0,0,0,1,1,3,4,0.386,0.87,0.493,0.848,Medium,Hybrid,0,1,1,1,1,3,4,1,0,3,2,1,4,5,22,2.1999999999999993,12,0.2631578947368421,13
Farhan Bhosale,Male,Engineering,Engineering,BCom,6,12,4,1,1,7,Often,0,1,Exhausted and drained,"No, I believe them",1,Always,3,2,4,Tight,PG,2,11,8.1,0,0,0,0,1,4,4,0.463,0.71,0.488,0.243,Medium,Hybrid,0,1,1,1,4,2,1,0,0,3,2,2,4,5,17,3.9000000000000004,15,0.46153846153846156,15
